id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
1000;Autocine Madrid RACE;DemoEM;1000;  ;;-3.682719171453021;40.500437060081694;;;ShowsHalls;Cinemas
1001;Centro Comercial Dreams - Palacio Municipal de Hielo;DemoEM;1001;  Metro: Canillas (línea 4).  Bus: 120, 112, 122, 153.;;-3.635733711568097;40.46291274127404;;;ShowsHalls;Cinemas
1002;Cine Artesiete Alcalá Full HD;DemoEM;1002;  Metro: Ciudad Lineal (línea 5)  Bus: 104, 109, 113, 4, 77, 48, 70, 105, 38;;-3.638523962349189;40.437446906533594;;;ShowsHalls;Cinemas
1003;Cine Artistic Metropol;DemoEM;1003;  Metro: Acacias (línea 5), Embajadores (línea 3)  Bus: 116, 118, 119, 34, 36, 62, 148, 41, 60, C03, C2, C1  Cercanías Renfe: Embajadores (línea C5)  Bicimad: Estación 46 (Ribera de Curtidores, 28) / Estación 163 (Paseo de la Esperanza, 2).;;-3.70742856791561;40.404856499695455;;;ShowsHalls;Cinemas
1004;Cine Capitol Gran Vía;DemoEM;1004; Descripción monumental: Arquitectos: Luis Martínez - Feduchi y Vicente Eced (1931 - 1933). Esta joya arquitectónica vanguardista e innovadora se construyó con la ambición de convertirse en un hito urbano. Desde su origen se pensó en él como so;;-3.7065898195198486;40.42043827261684;;;ShowsHalls;Cinemas
1005;Cine Cinesa La Gavia 3D;DemoEM;1005;  Bus: 145;;-3.597512351069017;40.367701522967664;;;ShowsHalls;Cinemas
1006;Cine Cinesa Las Rosas 3D;DemoEM;1006;  Metro: Alsacia (línea 2)  Bus: 106, 140, 159, E2. 153;;-3.6225145335284066;40.41850711270872;;;ShowsHalls;Cinemas
1007;Cine Cinesa Manoteras 3D;DemoEM;1007;  Cercanías Renfe: Fuente de la Mora (C1, C10)  Autobús: 150;;-3.6654142365599194;40.48604287095553;;;ShowsHalls;Cinemas
1008;Cine Cinesa Méndez Álvaro 3D;DemoEM;1008;  Metro: Méndez Álvaro (línea 6)  Cercanías Renfe: Méndez Álvaro (líneas C1, C5, C10)  Bus: 113;;-3.6755496528510783;40.396524567021544;;;ShowsHalls;Cinemas
1009;Cine Cinesa Príncipe Pío 3D;DemoEM;1009;  Metro: Príncipe Pío (líneas 6, 10)  Bus: 41, 46, 75  Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10)  Bicimad: Estación 161 (Paseo de la Florida, 8);;-3.7209625681527148;40.42078197104075;;;ShowsHalls;Cinemas
1010;Cine Cinesa Proyecciones 3D;DemoEM;1010;  Metro: Quevedo (línea 2), Bilbao (líneas 1 y 4)  Bus: 149, 3, 37  Bicimad: Estaciones 200 (glorieta Quevedo, 5), 4 (calle Manuela Malasaña, 5), 5 (calle Fuencarral, 108).  Aparcamiento: Olavide (52), Plaza de Olavide;;-3.7032511074682977;40.43148568058066;;;ShowsHalls;Cinemas
1011;Cine Conde Duque Auditorio Morasol;DemoEM;1011;  Metro: Concha Espina (línea 9)  Bus: 16, 29, 52, 19;;-3.6759848696172304;40.44826095436997;;;ShowsHalls;Cinemas
1012;Cine Conde Duque Goya;DemoEM;1012;  Metro: Goya (líneas 2 y 4), Velázquez (línea 4), Príncipe de Vergara (líneas 2 y 9)  Bus: 29, 52, 21, 53, 15, 152  Bicimad: Estación 91 (calle Hermosilla, 70);;-3.6796079845954734;40.425122566570735;;;ShowsHalls;Cinemas
1013;Cine Conde Duque Santa Engracia 3D;DemoEM;1013;  Metro: Rios Rosas (línea 1)  Bus: 12, 45, 149, 3, 37  Bicimad: Estación 130 (calle Santa Engracia, 127);;-3.701772948792809;40.442395567766845;;;ShowsHalls;Cinemas
1014;Cine Conde Duque Verdi Alberto Aguilera;DemoEM;1014;  Metro: San Bernardo (líneas 2, 4)  Bus: 21, C03, 147, 3  Bicimad: Estación 3 (Plaza del Conde Suchil, 2-4) / Estación 12 (calle San Bernardo, 85).;;-3.706593653591267;40.42981664825533;;;ShowsHalls;Cinemas
1015;Cine Estudio Círculo de Bellas Artes;DemoEM;1015;  Metro: Banco de España (línea 2), Sevilla (línea 2)  Bus: 001, 146, 150, 5, 51, 52, 53, 9, 002, 1, 2, 3, 46, 74, 15, 20  Bicimad: Estación 20a (calle Alcalá, 49) / estación 28 (calle Alcalá, 27)  Aparcamiento: Sevilla (41), calle Sevilla y ca;;-3.6966084554513072;40.418417756198565;;;ShowsHalls;Cinemas
